invoice_id,vendor_id,invoice_number,invoice_date,received_date,due_date,gl_account_id,cost_center_id,currency_code,invoice_amount,invoice_amount_usd,fx_rate,tax_amount,discount_amount,payment_terms_code,invoice_status,description,po_number,approved_by,approved_date,created_at,updated_at
INV000011,V0087,V0087-86404,2024-04-18,2024-04-22,2024-06-17,2001,CC100,MXN,1369.29,80.70,0.058939,0.00,0.00,NET60,PAID,Staffing services - contract labor,PO50037,e.garcia@company.com,2024-04-26,2024-04-22 13:54:22,2024-04-26 14:16:13
INV000012,V0167,V0167-82737,2024-03-24,2024-03-28,2024-04-23,5001,CC800,USD,212251.09,216491.23,1.019977,0.00,0.00,NET30,PAID,Telecommunications services,PO73142,b.patel@company.com,2024-03-31,2024-03-28 11:40:20,2024-03-31 11:16:41
INV000013,V0096,V0096-25688,2022-11-04,2022-11-08,2022-12-04,6017,CC110,USD,101392.41,102631.12,1.012217,0.00,1013.92,1_10_NET30,PAID,Consulting fees - November project,,h.davis@company.com,2022-11-11,2022-11-08 11:58:26,2022-11-11 13:24:47
INV000014,V0183,V0183-25892,2023-12-04,2023-12-09,2024-01-03,6015,CC900,CAD,40443.75,30093.95,0.744094,0.00,808.88,2_10_NET30,PAID,Janitorial and facilities services,PO32280,c.smith@company.com,2023-12-12,2023-12-09 08:30:08,2023-12-12 18:16:46
INV000015,V0060,V0060-90091,2023-11-19,2023-11-24,2023-12-19,5000,CC402,ZAR,128254.91,6849.07,0.053402,0.00,0.00,NET30_EOM,OPEN,Legal services - November retainer,PO48541,h.davis@company.com,2023-12-01,2023-11-24 08:30:03,2023-12-01 17:37:37
INV000016,V0019,V0019-62894,2023-02-03,2023-02-07,2023-03-20,5001,CC500,USD,33393.75,33433.62,1.001194,0.00,0.00,NET45,PAID,Consulting fees - February project,,f.williams@company.com,2023-02-11,2023-02-07 16:57:58,2023-02-11 14:09:20
INV000017,V0060,V0060-11592,2024-09-25,2024-09-27,2024-10-25,6012,CC201,ZAR,3833.78,205.48,0.053597,0.00,0.00,NET30_EOM,PAID,Maintenance and support contract,PO30766,h.davis@company.com,2024-10-04,2024-09-27 08:08:39,2024-10-04 13:40:27
INV000018,V0151,V0151-51242,2022-01-10,2022-01-10,2022-02-09,6008,CC402,USD,139149.56,141654.67,1.018003,0.00,0.00,NET30_EOM,OPEN,Monthly software license fee,PO92141,d.johnson@company.com,2022-01-12,2022-01-10 18:56:22,2022-01-12 11:08:06
INV000019,V0187,V0187-41123,2022-12-09,2022-12-09,2023-01-23,6021,CC400,USD,4228.11,4303.96,1.017939,0.00,0.00,NET45,OPEN,Training and development services,,c.smith@company.com,2022-12-12,2022-12-09 14:22:48,2022-12-12 10:10:58
INV000020,V0104,V0104-3506,2023-04-13,2023-04-14,2023-05-28,6016,CC200,INR,635.71,7.54,0.011861,0.00,0.00,NET45,PAID,Legal services - April retainer,,a.chen@company.com,2023-04-18,2023-04-14 17:16:49,2023-04-18 15:39:03
INV000021,V0017,V0017-87765,2022-08-10,2022-08-15,2022-09-09,6021,CC110,USD,33785.47,34041.90,1.007590,0.00,675.71,2_10_NET30,PAID,Equipment lease payment,,d.johnson@company.com,2022-08-21,2022-08-15 17:40:00,2022-08-21 11:26:42
INV000022,V0167,V0167-36386,2025-06-29,2025-06-30,2025-07-29,6015,CC501,USD,7024.46,7117.37,1.013226,0.00,0.00,NET30,OPEN,Telecommunications services,PO23928,h.davis@company.com,2025-06-30,2025-06-30 16:12:49,2025-06-30 11:53:33
INV000023,V0092,V0092-93200,2024-04-19,2024-04-21,2024-06-18,5003,CC900,DKK,1925.95,280.19,0.145479,0.00,0.00,NET60,PARTIAL,Staffing services - contract labor,PO98032,b.patel@company.com,2024-04-22,2024-04-21 16:42:31,2024-04-22 09:05:49
INV000024,V0033,V0033-34540,2023-04-19,2023-04-22,2023-05-19,1203,CC400,EUR,3309.82,3557.27,1.074763,0.00,0.00,NET30,OPEN,Telecommunications services,PO98705,f.williams@company.com,2023-04-26,2023-04-22 18:07:06,2023-04-26 07:00:54
INV000025,V0055,V0055-44078,2024-01-03,2024-01-06,2024-02-02,7003,CC300,USD,6195.01,6288.80,1.015139,0.00,0.00,IMMEDIATE,PAID,Hardware equipment purchase,PO69839,e.garcia@company.com,2024-01-13,2024-01-06 13:44:54,2024-01-13 14:51:26
INV000026,V0054,V0054-15818,2022-09-29,2022-10-04,2022-10-29,6016,CC201,USD,151393.84,148994.10,0.984149,11223.39,0.00,NET30_EOM,PAID,Maintenance and support contract,PO57002,a.chen@company.com,2022-10-11,2022-10-04 17:56:53,2022-10-11 18:57:08
INV000027,V0153,V0153-15802,2024-04-22,2024-04-25,2024-05-22,2005,CC300,USD,877.02,882.46,1.006199,0.00,0.00,EOM,OVERDUE,Utilities - April,PO91033,b.patel@company.com,2024-04-29,2024-04-25 17:46:15,2024-04-29 14:22:42
INV000028,V0124,V0124-20484,2025-02-17,2025-02-21,2025-03-19,2007,CC201,USD,39680.26,39689.11,1.000223,0.00,0.00,NET30,PAID,Cloud infrastructure services,,f.williams@company.com,2025-02-23,2025-02-21 12:17:03,2025-02-23 15:14:35
INV000029,V0130,V0130-31801,2022-06-11,2022-06-14,2022-07-11,6004,CC910,USD,121429.09,121177.00,0.997924,0.00,0.00,EOM,PAID,Equipment lease payment,,a.chen@company.com,2022-06-15,2022-06-14 13:26:02,2022-06-15 15:35:00
INV000030,V0193,V0193-82142,2023-09-16,2023-09-20,2023-10-01,6009,CC600,USD,28308.93,28818.89,1.018014,0.00,0.00,NET15,PARTIAL,Subscription renewal - annual,PO91232,h.davis@company.com,2023-09-26,2023-09-20 17:23:45,2023-09-26 14:07:06
INV000031,V0073,V0073-1287,2023-12-01,2023-12-03,2023-12-31,6021,CC400,CAD,29352.66,21762.41,0.741412,0.00,293.53,1_10_NET30,PAID,Equipment lease payment,PO63636,b.patel@company.com,2023-12-06,2023-12-03 16:12:12,2023-12-06 08:59:54
INV000032,V0146,V0146-25979,2023-11-24,2023-11-24,2023-12-04,6017,CC110,USD,113608.92,115547.66,1.017065,9025.16,0.00,NET10,PAID,Subscription renewal - annual,PO76086,c.smith@company.com,2023-11-28,2023-11-24 07:33:47,2023-11-28 07:35:59
INV000033,V0186,V0186-64298,2024-11-07,2024-11-08,2024-11-17,6014,CC201,USD,8684.30,8764.37,1.009220,0.00,0.00,NET10,OPEN,Janitorial and facilities services,,g.brown@company.com,2024-11-13,2024-11-08 18:48:15,2024-11-13 11:25:21
INV000034,V0116,V0116-18481,2022-10-10,2022-10-13,2022-10-20,6011,CC800,USD,75630.17,75021.88,0.991957,0.00,0.00,NET10,PAID,Marketing services - October campaign,PO48086,f.williams@company.com,2022-10-19,2022-10-13 09:45:41,2022-10-19 09:32:34
INV000035,V0105,V0105-94107,2022-08-25,2022-08-27,2022-09-24,6009,CC910,USD,68827.82,69022.33,1.002826,0.00,1376.56,2_10_NET30,PAID,Training and development services,,b.patel@company.com,2022-08-28,2022-08-27 13:09:03,2022-08-28 17:03:12
INV000036,V0053,V0053-38567,2023-05-29,2023-05-30,2023-06-28,6021,CC400,USD,105437.31,104188.93,0.988160,7162.79,0.00,NET30,OPEN,Hardware equipment purchase,PO98542,d.johnson@company.com,2023-06-05,2023-05-30 17:35:24,2023-06-05 10:32:50
INV000037,V0093,V0093-91824,2022-04-07,2022-04-10,2022-04-22,6002,CC401,USD,3555.09,3621.33,1.018633,0.00,0.00,NET15,PAID,Software development services,,h.davis@company.com,2022-04-17,2022-04-10 10:58:40,2022-04-17 18:45:41
INV000038,V0187,V0187-72645,2025-05-20,2025-05-21,2025-07-04,6018,CC210,USD,1696.31,1682.34,0.991767,0.00,0.00,NET45,PAID,Maintenance and support contract,,b.patel@company.com,2025-05-25,2025-05-21 07:27:17,2025-05-25 15:16:08
INV000039,V0084,V0084-1739,2023-11-08,2023-11-11,2024-01-07,6015,CC200,KRW,16669.10,12.27,0.000736,0.00,0.00,NET60,ON_HOLD,Equipment lease payment,,f.williams@company.com,2023-11-12,2023-11-11 18:20:33,2023-11-12 10:11:33
INV000040,V0158,V0158-21889,2024-05-01,2024-05-05,2024-06-15,6008,CC111,EUR,13662.49,14734.50,1.078464,0.00,0.00,NET45,PARTIAL,Legal services - May retainer,PO91039,h.davis@company.com,2024-05-10,2024-05-05 17:00:07,2024-05-10 17:22:28
INV000041,V0196,V0196-82412,2023-05-15,2023-05-15,2023-06-14,6014,CC401,USD,2018.43,2008.85,0.995255,0.00,0.00,NET30,PAID,Security services - May,,a.chen@company.com,2023-05-20,2023-05-15 12:32:51,2023-05-20 15:28:31
INV000042,V0063,V0063-42984,2024-11-18,2024-11-18,2025-01-02,7002,CC201,USD,92825.98,94577.14,1.018865,0.00,0.00,NET45,ON_HOLD,Marketing services - November campaign,PO37941,g.brown@company.com,2024-11-25,2024-11-18 08:13:34,2024-11-25 18:56:47
INV000043,V0023,V0023-98896,2022-11-11,2022-11-11,2023-01-10,6005,CC401,AUD,4852.43,3119.59,0.642893,0.00,48.52,1_10_NET60,PAID,Security services - November,PO39837,e.garcia@company.com,2022-11-15,2022-11-11 13:28:40,2022-11-15 13:27:20
INV000044,V0039,V0039-71101,2022-01-13,2022-01-18,2022-01-28,6015,CC111,USD,55136.91,55701.40,1.010238,0.00,0.00,NET15,OPEN,Legal services - January retainer,,b.patel@company.com,2022-01-21,2022-01-18 17:19:38,2022-01-21 08:18:48
INV000045,V0098,V0098-52788,2022-03-05,2022-03-08,2022-04-04,5003,CC211,USD,663.71,654.06,0.985455,0.00,0.00,NET30,OPEN,Consulting fees - March project,PO94926,f.williams@company.com,2022-03-09,2022-03-08 15:55:35,2022-03-09 09:07:02
INV000046,V0189,V0189-52653,2025-01-05,2025-01-09,2025-02-04,7001,CC400,USD,84603.10,83621.87,0.988402,0.00,1692.06,2_10_NET30,PAID,Training and development services,,c.smith@company.com,2025-01-11,2025-01-09 09:14:39,2025-01-11 11:12:07
INV000047,V0182,V0182-8128,2025-01-29,2025-02-01,2025-03-30,6012,CC111,USD,4456.94,4419.62,0.991626,244.73,44.57,1_10_NET60,OVERDUE,Utilities - January,PO97988,d.johnson@company.com,2025-02-02,2025-02-01 11:39:04,2025-02-02 10:20:31
INV000048,V0196,V0196-87431,2023-09-19,2023-09-24,2023-10-19,6010,CC910,USD,2090.26,2095.85,1.002674,0.00,0.00,NET30,PARTIAL,Monthly software license fee,PO39035,g.brown@company.com,2023-09-27,2023-09-24 12:08:43,2023-09-27 18:21:56
INV000049,V0143,V0143-48020,2023-09-18,2023-09-21,2023-11-17,6008,CC201,USD,5443.44,5475.13,1.005822,0.00,0.00,NET60,PARTIAL,Security services - September,PO92132,b.patel@company.com,2023-09-27,2023-09-21 08:57:01,2023-09-27 15:40:01
INV000050,V0185,V0185-54101,2025-04-23,2025-04-24,2025-05-03,6024,CC900,USD,140305.36,138961.94,0.990425,0.00,0.00,NET10,PAID,Legal services - April retainer,PO87280,e.garcia@company.com,2025-04-26,2025-04-24 14:32:32,2025-04-26 08:25:23
INV000051,V0079,V0079-81482,2022-12-06,2022-12-10,2023-01-05,5002,CC201,USD,185669.19,183286.31,0.987166,0.00,0.00,NET30_EOM,OVERDUE,Equipment lease payment,,a.chen@company.com,2022-12-12,2022-12-10 14:14:04,2022-12-12 11:23:14
INV000052,V0067,V0067-68880,2024-01-10,2024-01-13,2024-02-09,6005,CC600,USD,100.39,101.92,1.015262,0.00,0.00,NET30,PAID,Janitorial and facilities services,PO45847,e.garcia@company.com,2024-01-18,2024-01-13 15:36:11,2024-01-18 13:41:24
INV000053,V0024,V0024-68720,2023-05-31,2023-06-03,2023-06-15,1200,CC211,NOK,27292.33,2594.46,0.095062,2548.72,0.00,NET15,OPEN,Equipment lease payment,,a.chen@company.com,2023-06-08,2023-06-03 09:28:10,2023-06-08 10:04:32
INV000054,V0069,V0069-20692,2023-01-18,2023-01-19,2023-02-17,6001,CC112,CHF,311.05,350.62,1.127218,0.00,0.00,NET30,OVERDUE,Equipment lease payment,PO72786,d.johnson@company.com,2023-01-24,2023-01-19 09:41:53,2023-01-24 13:01:15
INV000055,V0183,V0183-78640,2022-11-26,2022-11-27,2022-12-26,6012,CC110,CAD,10023.38,7533.25,0.751568,0.00,200.47,2_10_NET30,PAID,Janitorial and facilities services,,a.chen@company.com,2022-12-03,2022-11-27 18:42:52,2022-12-03 11:05:13
INV000056,V0149,V0149-64133,2022-12-16,2022-12-17,2023-01-30,6021,CC999,BRL,54691.96,10943.81,0.200099,0.00,0.00,NET45,PAID,Maintenance and support contract,,f.williams@company.com,2022-12-21,2022-12-17 16:37:04,2022-12-21 10:24:24
INV000057,V0007,V0007-27522,2024-12-06,2024-12-10,2025-01-05,6014,CC200,USD,291.70,292.93,1.004220,0.00,0.00,NET30,VOID,Security services - December,PO25403,b.patel@company.com,2024-12-14,2024-12-10 17:08:57,2024-12-14 16:34:52
INV000058,V0139,V0139-69425,2024-05-11,2024-05-13,2024-07-10,6023,CC800,USD,174245.60,173750.39,0.997158,12912.67,1742.46,1_10_NET60,PAID,Legal services - May retainer,PO85513,b.patel@company.com,2024-05-17,2024-05-13 09:16:30,2024-05-17 10:58:54
INV000059,V0191,V0191-72267,2024-04-16,2024-04-18,2024-05-16,5004,CC100,USD,205.14,205.78,1.003119,0.00,0.00,NET30,OVERDUE,Utilities - April,PO23970,c.smith@company.com,2024-04-22,2024-04-18 17:37:16,2024-04-22 11:54:34
INV000060,V0119,V0119-81200,2023-07-19,2023-07-24,2023-08-18,6002,CC210,USD,95780.33,95447.88,0.996529,0.00,957.80,1_10_NET30,PAID,Security services - July,PO43263,e.garcia@company.com,2023-07-29,2023-07-24 12:49:45,2023-07-29 13:47:08
INV000061,V0039,V0039-99017,2023-04-16,2023-04-19,2023-05-01,6018,CC201,USD,44455.69,43744.89,0.984011,0.00,0.00,NET15,PAID,Maintenance and support contract,PO93345,a.chen@company.com,2023-04-26,2023-04-19 08:52:09,2023-04-26 14:59:38
INV000062,V0021,V0021-35483,2023-03-31,2023-04-02,2023-05-30,5000,CC110,USD,16848.20,16999.50,1.008980,0.00,0.00,NET60,PAID,Software development services,PO32973,h.davis@company.com,2023-04-06,2023-04-02 07:12:54,2023-04-06 17:59:51
INV000063,V0063,V0063-5405,2025-05-12,2025-05-16,2025-06-26,6007,CC211,USD,70130.27,70453.43,1.004608,0.00,0.00,NET45,PAID,Maintenance and support contract,PO46167,g.brown@company.com,2025-05-19,2025-05-16 17:25:25,2025-05-19 16:12:33
INV000064,V0022,V0022-12818,2025-01-30,2025-02-01,2025-03-01,6016,CC900,USD,579.47,589.09,1.016600,0.00,0.00,NET30,OVERDUE,Staffing services - contract labor,PO35496,h.davis@company.com,2025-02-05,2025-02-01 16:00:16,2025-02-05 09:26:32
INV000065,V0023,V0023-66951,2023-08-26,2023-08-28,2023-10-25,7001,CC800,AUD,130571.90,87087.02,0.666966,0.00,1305.72,1_10_NET60,PAID,Subscription renewal - annual,,h.davis@company.com,2023-09-04,2023-08-28 10:48:21,2023-09-04 14:43:29
INV000066,V0010,V0010-64172,2022-08-27,2022-08-29,2022-11-25,2011,CC211,USD,16423.10,16539.33,1.007077,0.00,0.00,NET90,PAID,Janitorial and facilities services,PO44517,d.johnson@company.com,2022-09-01,2022-08-29 08:25:43,2022-09-01 18:52:21
INV000067,V0059,V0059-63463,2023-10-05,2023-10-07,2023-12-04,5006,CC910,USD,183757.40,182060.03,0.990763,0.00,1837.57,1_10_NET60,PAID,Equipment lease payment,,d.johnson@company.com,2023-10-13,2023-10-07 10:55:16,2023-10-13 10:14:12
INV000068,V0198,V0198-47665,2022-11-16,2022-11-16,2022-12-16,5001,CC111,USD,580.85,584.93,1.007032,0.00,0.00,NET30,PAID,Equipment lease payment,PO51342,h.davis@company.com,2022-11-21,2022-11-16 11:31:11,2022-11-21 15:17:25
INV000069,V0184,V0184-17809,2022-04-21,2022-04-25,2022-05-21,6020,CC700,GBP,2168.21,2802.05,1.292334,0.00,0.00,NET30_EOM,PAID,Subscription renewal - annual,,h.davis@company.com,2022-04-28,2022-04-25 18:00:00,2022-04-28 17:13:24
INV000070,V0106,V0106-48395,2025-06-08,2025-06-10,2025-07-08,5004,CC300,USD,39922.81,39503.06,0.989486,0.00,798.46,2_10_NET30,OVERDUE,Maintenance and support contract,PO37594,g.brown@company.com,2025-06-16,2025-06-10 12:23:54,2025-06-16 13:17:28
INV000071,V0044,V0044-76483,2023-04-14,2023-04-14,2023-05-14,6015,CC211,SGD,995.79,748.50,0.751660,0.00,0.00,NET30,PAID,Equipment lease payment,,c.smith@company.com,2023-04-18,2023-04-14 14:08:57,2023-04-18 17:33:34
INV000072,V0153,V0153-40326,2023-05-29,2023-06-02,2023-06-28,6022,CC110,USD,73379.22,73081.01,0.995936,0.00,0.00,EOM,PAID,Equipment lease payment,,b.patel@company.com,2023-06-06,2023-06-02 18:21:16,2023-06-06 12:23:35
INV000073,V0084,V0084-46107,2022-02-10,2022-02-13,2022-04-11,5002,CC999,KRW,5753.86,4.26,0.000741,0.00,0.00,NET60,PAID,Telecommunications services,PO98236,h.davis@company.com,2022-02-20,2022-02-13 18:28:56,2022-02-20 08:24:39
INV000074,V0049,V0049-22964,2023-11-22,2023-11-25,2024-01-06,6012,CC910,USD,1208.27,1203.67,0.996191,0.00,0.00,NET45,PAID,Staffing services - contract labor,PO95591,e.garcia@company.com,2023-12-01,2023-11-25 11:38:41,2023-12-01 13:17:56
INV000075,V0118,V0118-99028,2025-04-17,2025-04-21,2025-05-17,7006,CC501,JPY,120401.90,795.98,0.006611,0.00,0.00,IMMEDIATE,PARTIAL,Office supplies and materials,,b.patel@company.com,2025-04-23,2025-04-21 09:25:06,2025-04-23 08:04:59
INV000076,V0176,V0176-8055,2022-02-23,2022-02-26,2022-03-25,6007,CC111,USD,1241.22,1221.56,0.984157,67.29,0.00,NET30,PAID,Telecommunications services,PO47247,h.davis@company.com,2022-03-04,2022-02-26 09:08:33,2022-03-04 09:01:02
INV000077,V0106,V0106-63410,2024-08-14,2024-08-18,2024-09-13,6025,CC900,USD,218226.17,217744.76,0.997794,0.00,4364.52,2_10_NET30,PAID,Temporary staffing services,PO92712,g.brown@company.com,2024-08-23,2024-08-18 17:40:34,2024-08-23 11:58:22
INV000078,V0076,V0076-12738,2024-06-23,2024-06-25,2024-08-07,6001,CC300,HKD,762.98,96.32,0.126237,0.00,0.00,NET45,PAID,Legal services - June retainer,PO80136,a.chen@company.com,2024-07-01,2024-06-25 14:48:30,2024-07-01 11:00:49
INV000079,V0094,V0094-79250,2023-04-19,2023-04-19,2023-06-03,6008,CC210,SGD,450.84,336.94,0.747352,0.00,0.00,NET45,PAID,Shipping and logistics,,d.johnson@company.com,2023-04-22,2023-04-19 08:27:40,2023-04-22 10:33:48
INV000080,V0195,V0195-91954,2023-07-11,2023-07-13,2023-10-09,6012,CC900,EUR,33372.11,36655.99,1.098402,0.00,0.00,NET90,PAID,Consulting fees - July project,PO93478,h.davis@company.com,2023-07-18,2023-07-13 14:17:44,2023-07-18 16:31:12
INV000081,V0050,V0050-7505,2024-12-31,2024-12-31,2025-01-30,5004,CC112,DKK,1318.15,190.12,0.144232,0.00,0.00,NET30,PARTIAL,Staffing services - contract labor,PO11930,h.davis@company.com,2025-01-02,2024-12-31 12:26:19,2025-01-02 14:23:29
INV000082,V0011,V0011-44286,2022-06-14,2022-06-15,2022-07-14,2007,CC500,DKK,39781.32,5688.93,0.143005,0.00,0.00,NET30_EOM,PAID,Shipping and logistics,,b.patel@company.com,2022-06-22,2022-06-15 18:15:24,2022-06-22 14:15:47
INV000083,V0051,V0051-61402,2022-07-12,2022-07-16,2022-09-10,6013,CC210,USD,7506.70,7498.54,0.998913,0.00,0.00,NET60,PARTIAL,Maintenance and support contract,PO15529,b.patel@company.com,2022-07-19,2022-07-16 14:40:19,2022-07-19 10:23:56
INV000084,V0071,V0071-15801,2023-04-29,2023-05-04,2023-05-29,6004,CC100,CHF,449.84,497.12,1.105098,0.00,0.00,NET30,PAID,Monthly software license fee,,h.davis@company.com,2023-05-10,2023-05-04 16:09:23,2023-05-10 08:15:10
INV000085,V0198,V0198-45357,2022-05-03,2022-05-03,2022-06-02,6000,CC200,USD,814.23,820.79,1.008053,0.00,0.00,NET30,PAID,Utilities - May,,f.williams@company.com,2022-05-10,2022-05-03 14:46:12,2022-05-10 07:44:24
INV000086,V0046,V0046-33859,2022-03-22,2022-03-25,2022-05-21,6015,CC900,USD,7814.15,7749.99,0.991789,0.00,0.00,NET60,OVERDUE,Security services - March,PO71393,e.garcia@company.com,2022-04-01,2022-03-25 16:58:55,2022-04-01 15:10:04
INV000087,V0144,V0144-39754,2023-06-24,2023-06-28,2023-07-24,6001,CC100,USD,44153.26,44640.58,1.011037,0.00,0.00,EOM,PARTIAL,Software development services,,d.johnson@company.com,2023-07-01,2023-06-28 18:04:42,2023-07-01 15:52:24
INV000088,V0156,V0156-73281,2022-11-12,2022-11-16,2022-12-12,5008,CC501,USD,1216.96,1223.82,1.005636,0.00,0.00,NET30,PAID,Professional services - Q4 engagement,,c.smith@company.com,2022-11-18,2022-11-16 07:12:06,2022-11-18 14:12:06
INV000089,V0126,V0126-87235,2024-09-30,2024-10-04,2024-11-14,6011,CC910,USD,3294.62,3262.46,0.990238,0.00,0.00,NET45,PAID,Monthly software license fee,,d.johnson@company.com,2024-10-10,2024-10-04 14:59:56,2024-10-10 08:29:51
INV000090,V0118,V0118-74140,2024-05-01,2024-05-03,2024-05-31,6020,CC110,JPY,19404.47,131.70,0.006787,0.00,0.00,IMMEDIATE,PAID,Telecommunications services,PO38298,b.patel@company.com,2024-05-04,2024-05-03 18:14:34,2024-05-04 13:12:12
INV000091,V0082,V0082-75714,2023-01-02,2023-01-06,2023-03-03,6017,CC501,USD,9403.58,9496.15,1.009844,741.27,0.00,NET60,PAID,Training and development services,,c.smith@company.com,2023-01-13,2023-01-06 09:35:25,2023-01-13 15:21:42
INV000092,V0191,V0191-59066,2023-12-23,2023-12-25,2024-01-22,6008,CC401,USD,707.87,717.63,1.013794,0.00,0.00,NET30,PAID,Software development services,PO81516,d.johnson@company.com,2023-12-29,2023-12-25 15:59:47,2023-12-29 11:23:28
INV000093,V0128,V0128-1025,2022-03-12,2022-03-14,2022-04-11,6010,CC800,USD,138184.11,136167.04,0.985403,0.00,2763.68,2_10_NET30,PAID,Marketing services - March campaign,,a.chen@company.com,2022-03-21,2022-03-14 18:52:17,2022-03-21 15:32:35
INV000094,V0183,V0183-21278,2022-07-13,2022-07-13,2022-08-12,6005,CC200,CAD,28677.05,20914.09,0.729297,0.00,573.54,2_10_NET30,OPEN,Office supplies and materials,,b.patel@company.com,2022-07-18,2022-07-13 13:36:58,2022-07-18 10:46:04
INV000095,V0152,V0152-23662,2024-09-26,2024-10-01,2024-10-26,6015,CC112,USD,22418.37,22503.76,1.003809,1940.07,224.18,1_10_NET30,PAID,Cloud infrastructure services,,f.williams@company.com,2024-10-04,2024-10-01 13:26:59,2024-10-04 08:55:49
INV000096,V0193,V0193-2498,2024-02-23,2024-02-23,2024-03-09,5009,CC110,USD,52092.26,51715.79,0.992773,0.00,0.00,NET15,PAID,Consulting fees - February project,PO61495,h.davis@company.com,2024-03-01,2024-02-23 16:36:32,2024-03-01 08:14:27
INV000097,V0127,V0127-20400,2022-09-28,2022-09-30,2022-10-28,5000,CC910,USD,1033.08,1043.22,1.009813,65.22,0.00,NET30,PAID,Janitorial and facilities services,PO27088,c.smith@company.com,2022-10-04,2022-09-30 15:12:31,2022-10-04 13:41:36
INV000098,V0196,V0196-97425,2024-12-09,2024-12-10,2025-01-08,5007,CC300,USD,533.48,539.39,1.011071,0.00,0.00,NET30,PAID,Hardware equipment purchase,PO65514,f.williams@company.com,2024-12-13,2024-12-10 10:20:22,2024-12-13 16:41:01
INV000099,V0055,V0055-46838,2025-06-16,2025-06-19,2025-07-16,6011,CC600,USD,106600.74,104660.07,0.981795,0.00,0.00,IMMEDIATE,PAID,Consulting fees - June project,,b.patel@company.com,2025-06-20,2025-06-19 18:03:15,2025-06-20 16:59:09
INV000100,V0093,V0093-2800,2023-12-05,2023-12-10,2023-12-20,6020,CC400,USD,1537.60,1534.53,0.998002,0.00,0.00,NET15,OVERDUE,Marketing services - December campaign,PO43902,h.davis@company.com,2023-12-15,2023-12-10 18:09:44,2023-12-15 18:42:01
INV000101,V0168,V0168-6699,2023-06-08,2023-06-09,2023-07-08,2008,CC210,USD,60216.10,60912.68,1.011568,0.00,0.00,NET30_EOM,ON_HOLD,Cloud infrastructure services,PO45561,f.williams@company.com,2023-06-16,2023-06-09 08:01:18,2023-06-16 17:24:14
